,Do not change anything here. This is an automated sheet that takes data from the other sheets.,,,,,,,,,
,MC sample luminosity (used),,,,,,,,,
,Sample,Subsample,Luminosiy in each campaign,,,,Total (Run2),,,
,,,2016preVFP_UL,2016postVFP_UL,2017_UL,2018_UL,,,Color codes,
,Data (for reference),,,,,,,,,Not enough luminosity
,Data,,19692.0000,16227.0000,41480.0000,59830.0000,137229.0000,,,Not using these files.
,,,,,,,,,,
,QCD processes,,,,,,,,,
,WW,WWTo1L1Nu2Q,392484.9042,390616.7188,780829.1553,787485.5886,2351416.3668,,,
,,WWTo2L2Nu,272137.0604,261496.8440,635076.6456,901172.2272,2069882.7773,,,
,,WWTo4Q,383174.9169,387383.3627,771138.3773,773049.8534,2314746.5103,,,
,WpWp,WpWpJJEWK,1520681.2652,1520681.2652,3041362.5304,3041362.5304,9124087.5912,,,
,,WpWpJJQCD,0.0000,0.0000,0.0000,6313131.3131,6313131.3131,,,
,WZ,WZTo1L1Nu2Q,403040.1786,401815.2221,799841.2456,805257.7308,2409954.3772,,,
,,WZTo2L2Q,2468716.1077,2129893.5601,4580695.3236,4499605.7314,13678910.7227,,,
,,WZTo3LNu,1853689.2438,2009182.9902,1989528.9590,1889798.5376,7742199.7306,,,
,ZZ,ZZTo2L2Nu,17315670.5689,16356541.3843,41937769.5625,56787841.4459,132397822.9616,,,
,,ZZTo2Q2L,4337223.3324,3461802.3224,7972318.6605,7928149.6084,23699493.9238,,,
,,ZZTo2Q2Nu,548703.6461,548867.7190,1097019.5643,4405016.4518,6599607.3811,,,
,,ZZTo4L,37502641.5094,39323773.5849,75009811.3208,74330566.0377,226166792.4528,,,
,,,,,,,,,,
,VVV processes,,,,,,,,,
,WWW,Inclusive,329008.3411,319740.5005,792400.3707,1112140.8712,2553290.0834,,,
,WWZ,Inclusive,474516.6960,392501.4646,1042765.0849,1452841.2419,3362624.4874,,,
,WZZ,Inclusive,2802592.3980,2399719.7408,5219828.3412,5254860.7462,15677001.2261,,,
,ZZZ,Inclusive,5487804.8780,4878048.7805,12059620.5962,16937669.3767,39363143.6314,,,
,,,,,,,,,,
,Higgs processes,,,,,,,,,
,Higgs,bbH_HToZZTo4L,3603683806.6002,3442003069.8388,3783023791.2510,3533384497.3139,14362095165.0038,,,
,,GluGluHToZZTo4L,30525030525.0305,30525030525.0305,30463980463.9805,28693528693.5287,120207570207.5700,,,
,,GluGluToZH,76474865.0732,77080878.9514,74872320.7402,75554356.2066,303982420.9715,,,
,,GluGluZH,94410876.1329,91486404.8338,3561166918.4290,344444108.7613,4091508308.1571,,,
,,ttHToNonbb,9338980.1700,4348418.3192,23942346.5534,34603366.3834,72233111.4259,,,
,,VBF_HToZZTo4L,186138613.8614,493069306.9307,494059405.9406,472277227.7228,1645544554.4555,,,
,,VHToNonbb,4611703.1710,3600980.7127,9475416.8029,13166481.4209,30854582.1074,,,
